Table Name,Counter Name,Data Id,MO Class
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit22InfoId,ReplacementUnit22InfoId,ReplacementUnit22Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit34InfoId,ReplacementUnit34InfoId,ReplacementUnit34Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit4InfoId,ReplacementUnit4InfoId,ReplacementUnit4Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit10InfoId,ReplacementUnit10InfoId,ReplacementUnit10Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit15InfoId,ReplacementUnit15InfoId,ReplacementUnit15Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit26InfoId,ReplacementUnit26InfoId,ReplacementUnit26Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit27InfoId,ReplacementUnit27InfoId,ReplacementUnit27Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit11InfoId,ReplacementUnit11InfoId,ReplacementUnit11Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit14InfoId,ReplacementUnit14InfoId,ReplacementUnit14Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit30InfoId,ReplacementUnit30InfoId,ReplacementUnit30Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit39InfoId,ReplacementUnit39InfoId,ReplacementUnit39Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit33InfoId,ReplacementUnit33InfoId,ReplacementUnit33Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit40InfoId,ReplacementUnit40InfoId,ReplacementUnit40Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit16InfoId,ReplacementUnit16InfoId,ReplacementUnit16Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit31InfoId,ReplacementUnit31InfoId,ReplacementUnit31Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit13InfoId,ReplacementUnit13InfoId,ReplacementUnit13Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit25InfoId,ReplacementUnit25InfoId,ReplacementUnit25Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit19InfoId,ReplacementUnit19InfoId,ReplacementUnit19Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit37InfoId,ReplacementUnit37InfoId,ReplacementUnit37Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit6InfoId,ReplacementUnit6InfoId,ReplacementUnit6Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit28InfoId,ReplacementUnit28InfoId,ReplacementUnit28Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit29InfoId,ReplacementUnit29InfoId,ReplacementUnit29Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit17InfoId,ReplacementUnit17InfoId,ReplacementUnit17Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit20InfoId,ReplacementUnit20InfoId,ReplacementUnit20Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit7InfoId,ReplacementUnit7InfoId,ReplacementUnit7Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit32InfoId,ReplacementUnit32InfoId,ReplacementUnit32Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit32InfoId,ReplacementUnit32InfoId,ReplacementUnit12Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit8InfoId,ReplacementUnit8InfoId,ReplacementUnit8Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit2InfoId,ReplacementUnit2InfoId,ReplacementUnit2Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit24InfoId,ReplacementUnit24InfoId,ReplacementUnit24Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit1InfoId,ReplacementUnit1InfoId,ReplacementUnit1Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit36InfoId,ReplacementUnit36InfoId,ReplacementUnit36Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit35InfoId,ReplacementUnit35InfoId,ReplacementUnit35Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit21InfoId,ReplacementUnit21InfoId,ReplacementUnit21Info
DC_E_BULK_CM_REPLACEMENTUNIT,replacementUnit9InfoId,ReplacementUnit9InfoId,ReplacementUnit9Info
