Fact Table Name,Counter Name,Data id,MO class
DC_E_CSCF_DIAMETER_ERROR,CerReceivedFromUnknownPeer,CerReceivedFromUnknownPeer,DiameterErrorCounters
DC_E_CSCF_DIAMETER_ERROR,MalformedReceivedRequests,target1,DiameterErrorCounters
DC_E_CSCF_DIAMETER_ERROR,ProtocolErrorsAndPermanentFailures,target2,DiameterErrorCounters
DC_E_CSCF_DIAMETER_THRESHOLD,OutgoingMessageDiscardedDueToCongestionPerLink,OutgoingMessageDiscardedDueToCongestionPerLink,DiameterThresholdCounters
DC_E_CSCF_DIAMETER_TRAFFIC,IncomingMessageDiscardedDueToOverload,IncomingMessageDiscardedDueToOverload,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,OutgoingMessageDiscardedDueToCongestion,OutgoingMessageDiscardedDueToCongestion,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,ReceivedAnswerFromPeer,ReceivedAnswerFromPeer,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,ReceivedRequestFromPeer,ReceivedRequestFromPeer,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,ReceivedUnsuccessfulAnswerFromPeer,ReceivedUnsuccessfulAnswerFromPeer,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,SentAnswerToPeer,SentAnswerToPeer,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,SentRequestToPeer,SentRequestToPeer,DiameterTrafficCounters
DC_E_CSCF_DIAMETER_TRAFFIC,SentUnsuccessfulAnswerToPeer,SentUnsuccessfulAnswerToPeer,DiameterTrafficCounters
