Table Name,Counter Name,Data Id,MO Class
DC_E_HSS_AVG,HssAvgRequests,HssAvgRequests,HssAvgServiceCounters
DC_E_HSS_AVG,HssAvgRequests,HssAvgRequests,HssAvgExtDbCounters
DC_E_HSS_AVG,HssAvgRequests,HssAvgRequests,HSS-AVG
DC_E_HSS_AVG,HssAvgTotalErrorResponses,HssAvgTotalErrorResponses,HssAvgServiceCounters
DC_E_HSS_AVG,HssAvgTotalErrorResponses,HssAvgTotalErrorResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,HssAvgTotalErrorResponses,HssAvgTotalErrorResponses,HSS-AVG
DC_E_HSS_AVG,HssAvgSuccessResponses,HssAvgSuccessResponses,HssAvgServiceCounters
DC_E_HSS_AVG,HssAvgSuccessResponses,HssAvgSuccessResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,HssAvgSuccessResponses,HssAvgSuccessResponses,HSS-AVG
DC_E_HSS_AVG,HssAvgResynchronizationRequested,HssAvgResynchronizationRequested,HssAvgServiceCounters
DC_E_HSS_AVG,HssAvgResynchronizationRequested,HssAvgResynchronizationRequested,HssAvgExtDbCounters
DC_E_HSS_AVG,HssAvgResynchronizationRequested,HssAvgResynchronizationRequested,HSS-AVG
DC_E_HSS_AVG,AvgExtDbModifySuccessResponses,AvgExtDbModifySuccessResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbModifySuccessResponses,AvgExtDbModifySuccessResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbCreateSuccessResponses,AvgExtDbCreateSuccessResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbCreateSuccessResponses,AvgExtDbCreateSuccessResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbModifyTimeoutResponses,AvgExtDbModifyTimeoutResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbModifyTimeoutResponses,AvgExtDbModifyTimeoutResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbCreateRequests,AvgExtDbCreateRequests,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbCreateRequests,AvgExtDbCreateRequests,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDeleteSuccessResponses,AvgExtDbDeleteSuccessResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDeleteSuccessResponses,AvgExtDbDeleteSuccessResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbModifyErrorResponses,AvgExtDbModifyErrorResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbModifyErrorResponses,AvgExtDbModifyErrorResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDeleteTimeoutResponses,AvgExtDbDeleteTimeoutResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDeleteTimeoutResponses,AvgExtDbDeleteTimeoutResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDiscardedRequestsDueLackOfResources,AvgExtDbDiscardedRequestsDueLackOfResources,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDiscardedRequestsDueLackOfResources,AvgExtDbDiscardedRequestsDueLackOfResources,HSS-AVG
DC_E_HSS_AVG,AvgExtDbCreateOverloadErrors,AvgExtDbCreateOverloadErrors,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbCreateOverloadErrors,AvgExtDbCreateOverloadErrors,HSS-AVG
DC_E_HSS_AVG,AvgExtDbSearchErrorResponses,AvgExtDbSearchErrorResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbSearchErrorResponses,AvgExtDbSearchErrorResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbModifyRequests,AvgExtDbModifyRequests,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbModifyRequests,AvgExtDbModifyRequests,HSS-AVG
DC_E_HSS_AVG,AvgExtDbModifyOverloadErrors,AvgExtDbModifyOverloadErrors,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbModifyOverloadErrors,AvgExtDbModifyOverloadErrors,HSS-AVG
DC_E_HSS_AVG,AvgExtDbCreateErrorResponses,AvgExtDbCreateErrorResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbCreateErrorResponses,AvgExtDbCreateErrorResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDeleteErrorResponses,AvgExtDbDeleteErrorResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDeleteErrorResponses,AvgExtDbDeleteErrorResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbSearchSuccessResponses,AvgExtDbSearchSuccessResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbSearchSuccessResponses,AvgExtDbSearchSuccessResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbSearchOverloadErrors,AvgExtDbSearchOverloadErrors,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbSearchOverloadErrors,AvgExtDbSearchOverloadErrors,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDeleteOverloadErrors,AvgExtDbDeleteOverloadErrors,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDeleteOverloadErrors,AvgExtDbDeleteOverloadErrors,HSS-AVG
DC_E_HSS_AVG,AvgExtDbSearchTimeoutResponses,AvgExtDbSearchTimeoutResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbSearchTimeoutResponses,AvgExtDbSearchTimeoutResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbCreateTimeoutResponses,AvgExtDbCreateTimeoutResponses,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbCreateTimeoutResponses,AvgExtDbCreateTimeoutResponses,HSS-AVG
DC_E_HSS_AVG,AvgExtDbSearchRequests,AvgExtDbSearchRequests,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbSearchRequests,AvgExtDbSearchRequests,HSS-AVG
DC_E_HSS_AVG,AvgExtDbDeleteRequests,AvgExtDbDeleteRequests,HssAvgExtDbCounters
DC_E_HSS_AVG,AvgExtDbDeleteRequests,AvgExtDbDeleteRequests,HSS-AVG
DC_E_HSS_AVG,HssAvgProvisionedUsers,HssAvgProvisionedUsers,HssAvgExtDbCounters
DC_E_HSS_AVG,HssAvgProvisionedUsers,HssAvgProvisionedUsers,HSS-AVG
DC_E_HSS_ESM,EsmMapAtiSubscriberUnknownResponses,EsmMapAtiSubscriberUnknownResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapAtiSubscriberUnknownResponses,EsmMapAtiSubscriberUnknownResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapAtiSubscriberUnknownResponses,EsmMapAtiSubscriberUnknownResponses,HSS-ESM
DC_E_HSS_ESM,EsmMapAtiRequests,EsmMapAtiRequests,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapAtiRequests,EsmMapAtiRequests,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapAtiRequests,EsmMapAtiRequests,HSS-ESM
DC_E_HSS_ESM,EsmMapSaiSubscriberUnknownResponses,EsmMapSaiSubscriberUnknownResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapSaiSubscriberUnknownResponses,EsmMapSaiSubscriberUnknownResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapSaiSubscriberUnknownResponses,EsmMapSaiSubscriberUnknownResponses,HSS-ESM
DC_E_HSS_ESM,EsmMapSaiRequests,EsmMapSaiRequests,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapSaiRequests,EsmMapSaiRequests,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapSaiRequests,EsmMapSaiRequests,HSS-ESM
DC_E_HSS_ESM,EsmMapSaiTimeoutResponses,EsmMapSaiTimeoutResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapSaiTimeoutResponses,EsmMapSaiTimeoutResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapSaiTimeoutResponses,EsmMapSaiTimeoutResponses,HSS-ESM
DC_E_HSS_ESM,EsmMapSaiSuccessResponses,EsmMapSaiSuccessResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapSaiSuccessResponses,EsmMapSaiSuccessResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapSaiSuccessResponses,EsmMapSaiSuccessResponses,HSS-ESM
DC_E_HSS_ESM,EsmMapAtiTimeoutResponses,EsmMapAtiTimeoutResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapAtiTimeoutResponses,EsmMapAtiTimeoutResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapAtiTimeoutResponses,EsmMapAtiTimeoutResponses,HSS-ESM
DC_E_HSS_ESM,EsmMapAtiSuccessResponses,EsmMapAtiSuccessResponses,HssEsmMapCounters
DC_E_HSS_ESM,EsmMapAtiSuccessResponses,EsmMapAtiSuccessResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmMapAtiSuccessResponses,EsmMapAtiSuccessResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbSearchSuccessResponses,EsmExtDbSearchSuccessResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbSearchSuccessResponses,EsmExtDbSearchSuccessResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbSearchSuccessResponses,EsmExtDbSearchSuccessResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbCreateRequests,EsmExtDbCreateRequests,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbCreateRequests,EsmExtDbCreateRequests,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbCreateRequests,EsmExtDbCreateRequests,HSS-ESM
DC_E_HSS_ESM,EsmExtDbCreateTimeoutResponses,EsmExtDbCreateTimeoutResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbCreateTimeoutResponses,EsmExtDbCreateTimeoutResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbCreateTimeoutResponses,EsmExtDbCreateTimeoutResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbDiscardedRequestsDueLackOfResources,EsmExtDbDiscardedRequestsDueLackOfResources,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbDiscardedRequestsDueLackOfResources,EsmExtDbDiscardedRequestsDueLackOfResources,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbDiscardedRequestsDueLackOfResources,EsmExtDbDiscardedRequestsDueLackOfResources,HSS-ESM
DC_E_HSS_ESM,EsmExtDbSearchRequests,EsmExtDbSearchRequests,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbSearchRequests,EsmExtDbSearchRequests,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbSearchRequests,EsmExtDbSearchRequests,HSS-ESM
DC_E_HSS_ESM,EsmExtDbModifyRequests,EsmExtDbModifyRequests,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbModifyRequests,EsmExtDbModifyRequests,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbModifyRequests,EsmExtDbModifyRequests,HSS-ESM
DC_E_HSS_ESM,EsmExtDbModifyTimeoutResponses,EsmExtDbModifyTimeoutResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbModifyTimeoutResponses,EsmExtDbModifyTimeoutResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbModifyTimeoutResponses,EsmExtDbModifyTimeoutResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbSearchTimeoutResponses,EsmExtDbSearchTimeoutResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbSearchTimeoutResponses,EsmExtDbSearchTimeoutResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbSearchTimeoutResponses,EsmExtDbSearchTimeoutResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbCreateOverloadErrors,EsmExtDbCreateOverloadErrors,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbCreateOverloadErrors,EsmExtDbCreateOverloadErrors,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbCreateOverloadErrors,EsmExtDbCreateOverloadErrors,HSS-ESM
DC_E_HSS_ESM,EsmExtDbModifySuccessResponses,EsmExtDbModifySuccessResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbModifySuccessResponses,EsmExtDbModifySuccessResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbModifySuccessResponses,EsmExtDbModifySuccessResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbCreateErrorResponses,EsmExtDbCreateErrorResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbCreateErrorResponses,EsmExtDbCreateErrorResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbCreateErrorResponses,EsmExtDbCreateErrorResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbModifyOverloadErrors,EsmExtDbModifyOverloadErrors,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbModifyOverloadErrors,EsmExtDbModifyOverloadErrors,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbModifyOverloadErrors,EsmExtDbModifyOverloadErrors,HSS-ESM
DC_E_HSS_ESM,EsmExtDbModifyErrorResponses,EsmExtDbModifyErrorResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbModifyErrorResponses,EsmExtDbModifyErrorResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbModifyErrorResponses,EsmExtDbModifyErrorResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbCreateSuccessResponses,EsmExtDbCreateSuccessResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbCreateSuccessResponses,EsmExtDbCreateSuccessResponses,HssEsmServiceCounters
DC_E_HSS_ESM,EsmExtDbCreateSuccessResponses,EsmExtDbCreateSuccessResponses,HSS-ESM
DC_E_HSS_ESM,EsmExtDbSearchErrorResponses,EsmExtDbSearchErrorResponses,HssEsmExtDbCounters
DC_E_HSS_ESM,EsmExtDbSearchErrorResponses,EsmExtDbSearchErrorResponses,HssEsmServiceCounters
