Table Name,Counter Name,Data Id,MO Class
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSFailedError,ipworksDhcpv4DDNSFailedError,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSRecv,ipworksDhcpv4DDNSRecv,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSRetryFail,ipworksDhcpv4DDNSRetryFail,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSSent,ipworksDhcpv4DDNSSent,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSSuccess,ipworksDhcpv4DDNSSuccess,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4DDNSUpdateTotal,ipworksDhcpv4DDNSUpdateTotal,DHCPv4DDNSMessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4ActiveLeaseNum,ipworksDhcpv4ActiveLeaseNum,DHCPv4LeaseInfoGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4ActiveLeasePercentage,ipworksDhcpv4ActiveLeasePercentage,DHCPv4LeaseInfoGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4ConfiguredLeaseNum,ipworksDhcpv4ConfiguredLeaseNum,DHCPv4LeaseInfoGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4GarbledCHADDR,ipworksDhcpv4GarbledCHADDR,DHCPv4FormatErrorGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4UnknownHardware,ipworksDhcpv4UnknownHardware,DHCPv4FormatErrorGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4UnknownMsgType,ipworksDhcpv4UnknownMsgType,DHCPv4FormatErrorGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4ParsingOption82Fail,ipworksDhcpv4ParsingOption82Fail,DHCPv4FormatErrorGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountBOOTPReplies,ipworksDhcpv4CountBOOTPReplies,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountBOOTPRequests,ipworksDhcpv4CountBOOTPRequests,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountBOOTPTotal,ipworksDhcpv4CountBOOTPTotal,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPAcks,ipworksDhcpv4CountDHCPAcks,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPDeclines,ipworksDhcpv4CountDHCPDeclines,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPDiscovers,ipworksDhcpv4CountDHCPDiscovers,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPInforms,ipworksDhcpv4CountDHCPInforms,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPNacks,ipworksDhcpv4CountDHCPNacks,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPOffers,ipworksDhcpv4CountDHCPOffers,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPReleases,ipworksDhcpv4CountDHCPReleases,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPRequests,ipworksDhcpv4CountDHCPRequests,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4CountDHCPTotal,ipworksDhcpv4CountDHCPTotal,DHCPv4MessageGroup
DC_E_IMS_IPW_DHCPV4,ipworksDhcpv4TransactionPerSecond,ipworksDhcpv4TransactionPerSecond,DHCPv4MessageGroup
DC_E_IMS_IPW_DNS,ipworksDnsServEnumQueryRecursion,ipworksDnsServEnumQueryRecursion,DnsQueryStatisticsGroup
DC_E_IMS_IPW_DNS,ipworksDnsServQueryFailure,ipworksDnsServQueryFailure,DnsQueryStatisticsGroup
DC_E_IMS_IPW_DNS,ipworksDnsServQueryNxdomain,ipworksDnsServQueryNxdomain,DnsQueryStatisticsGroup
