Fact Table Name,Counter Name,Data id,MO class
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,General_Queries_Received,General_Queries_Received,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Groups,Groups,IGMP-MLD-Snooping-Vlan
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Invalid_Messages_Received,Invalid_Messages_Received,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Joins_Received,Joins_Received,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Leaves_Received,Leaves_Received,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Router_Ports,Router_Ports,IGMP-MLD-Snooping-Vlan
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Specific_Queries_Received,Specific_Queries_Received,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_IGMP_MLD_SNOOPING_RT,Specific_Queries_Sent,Specific_Queries_Sent,IGMP-MLD-Snooping-VlanEndpoint
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayStartTime,xfServiceOamDelayStartTime,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayEndTime,xfServiceOamDelayEndTime,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayAvgDelay,xfServiceOamDelayAvgDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMinDelay,xfServiceOamDelayMinDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMaxDelay,xfServiceOamDelayMaxDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayAvgDelayVariation,xfServiceOamDelayAvgDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMinDelayVariation,xfServiceOamDelayMinDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMaxDelayVariation,xfServiceOamDelayMaxDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelaySentDmmNum,xfServiceOamDelaySentDmmNum,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayReceivedDmrOkNum,xfServiceOamDelayReceivedDmrOkNum,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayReceivedDmrErrNum,xfServiceOamDelayReceivedDmrErrNum,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayPercentileDelay,xfServiceOamDelayPercentileDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayPercentileDelayVariation,xfServiceOamDelayPercentileDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayAvgPercentileDelay,xfServiceOamDelayAvgPercentileDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMinPercentileDelay,xfServiceOamDelayMinPercentileDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMaxPercentileDelay,xfServiceOamDelayMaxPercentileDelay,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayAvgPercentileDelayVariation,xfServiceOamDelayAvgPercentileDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMinPercentileDelayVariation,xfServiceOamDelayMinPercentileDelayVariation,ServiceOAMDelay
