Fact Table Name,Counter Name,DataFormat ID,MO Class
DC_E_MGW_SERVICE,pmAsyncNonTransModemGsm,pmAsyncNonTransModemGsm,InmarsatService
DC_E_MGW_SERVICE,pmAsyncNonTransModemWcdma,pmAsyncNonTransModemWcdma,VbdService
DC_E_MGW_SERVICE,pmAsyncNonTransModemWcdma,pmAsyncNonTransModemWcdma,CsdModemService
DC_E_MGW_SERVICE,pmAsyncTransModemGsm,pmAsyncTransModemGsm,CsdModemService
DC_E_MGW_SERVICE,pmAttemptCmm,pmAttemptCmm,CsdGsmFaxService
DC_E_MGW_SERVICE,pmBitTransFail,pmBitTransFail,
DC_E_MGW_SERVICE,pmBitTransSucc,pmBitTransSucc,UpFhService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,VbdService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,CsdModemService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,InmarsatService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,HdAudioMixingService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,TfoService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,H263Service
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,HdVideoMixingService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,GttService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,RtpRtcpService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,MpcService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,HdVideoSwitchingService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,H264Service
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,NrService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,ToneSenderService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,UpFhService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,G719Service
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,MccService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,DtmfReceiverService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,IpEtService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,DtmfSenderService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,CsdGsmFhService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,GsmFrService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,EfrService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,PcmService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,G722Service
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,VP8Service
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,GsmHrService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,T38FaxService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,ImService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,AscService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,HdConferencingService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,EcService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,CsdDigitalService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,CsdGsmFaxService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,AmrService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,ContinuityCheckService
DC_E_MGW_SERVICE,pmBusyInstances,pmBusyInstances,InmarsatService
DC_E_MGW_SERVICE,pmBusyUnitsAmrWb,pmBusyUnitsAmrWb,VbdService
DC_E_MGW_SERVICE,pmBusyUnitsAmrWb,pmBusyUnitsAmrWb,AmrWbService
DC_E_MGW_SERVICE,pmBusyUnitsG729,pmBusyUnitsG729,InmarsatService
DC_E_MGW_SERVICE,pmBusyUnitsG729,pmBusyUnitsG729,G729Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,CsdModemService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,HdAudioMixingService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,InmarsatService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,TfoService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,H263Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,HdVideoMixingService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,GttService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,RtpRtcpService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,MpcService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,HdVideoSwitchingService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,H264Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,NrService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,AmrWbService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,ToneSenderService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,UpFhService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,G719Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,MccService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,DtmfReceiverService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,IpEtService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,DtmfSenderService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,CsdGsmFhService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,GsmFrService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,EfrService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,PcmService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,G722Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,VP8Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,GsmHrService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,T38FaxService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,ImService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,AscService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,HdConferencingService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,EcService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,CsdDigitalService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,G729Service
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,CsdGsmFaxService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,AmrService
DC_E_MGW_SERVICE,pmForcedRelease,pmForcedRelease,ContinuityCheckService
DC_E_MGW_SERVICE,pmFtmFail,pmFtmFail,CsdDigitalService
DC_E_MGW_SERVICE,pmFtmFailGsm,pmFtmFailGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmFtmSucc,pmFtmSucc,CsdDigitalService
DC_E_MGW_SERVICE,pmFtmSuccGsm,pmFtmSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmIPv4Load,pmIPv4Load,IpEtService
DC_E_MGW_SERVICE,pmIPv6Load,pmIPv6Load,IpEtService
DC_E_MGW_SERVICE,pmModemOFail,pmModemOFail,CsdDigitalService
DC_E_MGW_SERVICE,pmModemOFailGsm,pmModemOFailGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmModemOSucc,pmModemOSucc,CsdDigitalService
DC_E_MGW_SERVICE,pmModemOSuccGsm,pmModemOSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmModemTFail,pmModemTFail,CsdDigitalService
DC_E_MGW_SERVICE,pmModemTFailGsm,pmModemTFailGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmModemTFailGsm,pmModemTFailGsm,VbdService
DC_E_MGW_SERVICE,pmModemTSucc,pmModemTSucc,CsdDigitalService
DC_E_MGW_SERVICE,pmModemTSucc,pmModemTSucc,InmarsatService
DC_E_MGW_SERVICE,pmModemTSuccGsm,pmModemTSuccGsm,CsdModemService
DC_E_MGW_SERVICE,pmModemTSuccGsm,pmModemTSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,HdAudioMixingService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,InmarsatService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,TfoService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,H263Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,HdVideoMixingService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,GttService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,RtpRtcpService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,MpcService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,HdVideoSwitchingService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,H264Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,NrService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,AmrWbService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,ToneSenderService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,UpFhService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,G719Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,MccService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,DtmfReceiverService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,IpEtService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,DtmfSenderService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,CsdGsmFhService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,GsmFrService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,EfrService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,PcmService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,G722Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,VP8Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,GsmHrService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,T38FaxService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,ImService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,AscService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,HdConferencingService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,EcService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,CsdDigitalService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,G729Service
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,CsdGsmFaxService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,AmrService
DC_E_MGW_SERVICE,pmNormalRelease,pmNormalRelease,ContinuityCheckService
DC_E_MGW_SERVICE,pmNumBitTrans,pmNumBitTrans,UpFhService
DC_E_MGW_SERVICE,pmNumFtm,pmNumFtm,CsdDigitalService
DC_E_MGW_SERVICE,pmNumFtmGsm,pmNumFtmGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmNumModemO,pmNumModemO,CsdDigitalService
DC_E_MGW_SERVICE,pmNumModemOGsm,pmNumModemOGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmNumModemT,pmNumModemT,CsdDigitalService
DC_E_MGW_SERVICE,pmNumModemTGsm,pmNumModemTGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmNumUdi,pmNumUdi,CsdDigitalService
DC_E_MGW_SERVICE,pmNumUdiATGsm,pmNumUdiATGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmNumUdiGsm,pmNumUdiGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmSidActivated,pmSidActivated,CsdModemService
DC_E_MGW_SERVICE,pmSidActivated,pmSidActivated,AmrService
DC_E_MGW_SERVICE,pmSuccCmm,pmSuccCmm,CsdGsmFaxService
DC_E_MGW_SERVICE,pmSyncTransFaxModemGsm,pmSyncTransFaxModemGsm,CsdGsmFaxService
DC_E_MGW_SERVICE,pmSyncTransModemGsm,pmSyncTransModemGsm,CsdModemService
DC_E_MGW_SERVICE,pmTfoAmrNbDroppedCalls,pmTfoAmrNbDroppedCalls,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbEndPointMode,pmTfoAmrNbEndPointMode,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbEstablishments,pmTfoAmrNbEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbFallbacks,pmTfoAmrNbFallbacks,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbNegotiations,pmTfoAmrNbNegotiations,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbReEstablishments,pmTfoAmrNbReEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoAmrNbReNegotiations,pmTfoAmrNbReNegotiations,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbDroppedCalls,pmTfoAmrWbDroppedCalls,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbEndPointMode,pmTfoAmrWbEndPointMode,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbEstablishments,pmTfoAmrWbEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbFallbacks,pmTfoAmrWbFallbacks,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbNegotiations,pmTfoAmrWbNegotiations,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbReEstablishments,pmTfoAmrWbReEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoAmrWbReNegotiations,pmTfoAmrWbReNegotiations,TfoService
DC_E_MGW_SERVICE,pmTfoEfrDroppedCalls,pmTfoEfrDroppedCalls,TfoService
DC_E_MGW_SERVICE,pmTfoEfrEndPointMode,pmTfoEfrEndPointMode,TfoService
DC_E_MGW_SERVICE,pmTfoEfrEstablishments,pmTfoEfrEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoEfrFallbacks,pmTfoEfrFallbacks,TfoService
DC_E_MGW_SERVICE,pmTfoEfrNegotiations,pmTfoEfrNegotiations,VbdService
DC_E_MGW_SERVICE,pmTfoEfrReEstablishments,pmTfoEfrReEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoEfrReEstablishments,pmTfoEfrReEstablishments,InmarsatService
DC_E_MGW_SERVICE,pmTfoEfrReEstablishments,pmTfoEfrReEstablishments,TfoService
DC_E_MGW_SERVICE,pmTfoEfrReEstablishments,pmTfoEfrReEstablishments,CsdModemService
DC_E_MGW_SERVICE,pmTfoEfrReNegotiations,pmTfoEfrReNegotiations,InmarsatService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,HdAudioMixingService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,TfoService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,H263Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,HdVideoMixingService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,GttService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,RtpRtcpService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,MpcService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,HdVideoSwitchingService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,H264Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,NrService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,AmrWbService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,ToneSenderService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,UpFhService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,G719Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,MccService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,DtmfReceiverService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,IpEtService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,DtmfSenderService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,CsdGsmFhService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,GsmFrService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,EfrService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,PcmService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,G722Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,VP8Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,GsmHrService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,T38FaxService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,ImService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,AscService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,HdConferencingService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,EcService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,CsdDigitalService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,G729Service
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,CsdGsmFaxService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,AmrService
DC_E_MGW_SERVICE,pmTotalSeizures,pmTotalSeizures,ContinuityCheckService
DC_E_MGW_SERVICE,pmUdiATFailGsm,pmUdiATFailGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiATSuccGsm,pmUdiATSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiFail,pmUdiFail,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiSucc,pmUdiSucc,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiSuccGsm,pmUdiSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiFailGsm,pmUdiFailGsm,VbdService
DC_E_MGW_SERVICE,pmUdiFailGsm,pmUdiFailGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiSucc,pmUdiSucc,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiSucc,pmUdiSucc,InmarsatService
DC_E_MGW_SERVICE,pmUdiSuccGsm,pmUdiSuccGsm,CsdDigitalService
DC_E_MGW_SERVICE,pmUdiSuccGsm,pmUdiSuccGsm,CsdModemService
DC_E_MGW_SERVICE,pmUnsuccCmm,pmUnsuccCmm,InmarsatService
DC_E_MGW_SERVICE,pmUnsuccCmm,pmUnsuccCmm,CsdGsmFaxService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,HdAudioMixingService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,H263Service
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,HdVideoMixingService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,GttService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,RtpRtcpService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,MpcService
DC_E_MGW_SERVICE,pmUnsuccSeizures,pmUnsuccSeizures,HdVideoSwitchingService
